gold_id,prerequisites,unlocks
ARTHI 187A,Upper-division standing.,None
ARTHI 192A,Consent of instructor.,None
ARTHI 192B,Consent of instructor.,None
ARTHI 192C,Consent of instructor.,None
ARTHI 192D,Consent of instructor.,None
ARTHI 192E,Consent of instructor.,None
ARTHI 199,Upper-division standing; two upper-division courses in art history; consent of instructor and department.,None
ARTHI 199RA,Upper-division standing; two upper-division courses in art history; consent of instructor and department.,None
ARTHI 265,Graduate standing.,None
ARTHI 282A,Graduate standing.,None
ARTHI 295,Graduate standing; consent of instructor; department approval.,None
ARTHI 500,Graduate standing; consent of instructor; department approval.,None
ARTHI 5A,No Prerequisites,None
ARTHI 6C,No Prerequisites,None
ARTHI 132E,Not open to freshmen.,None
ARTHI 134K,Not open to freshmen.,None
ARTHI 136C,Not open to freshmen.,None
ARTHI 136Y,Not open to freshmen.,None
ARTHI 141MH,No Prerequisites,None
ARTHI 163,Upper division standing.,None
ARTHI 187Z,Upper-division standing; art history majors only.,None
ARTHI 200A,Graduate standing. Art History majors only.,None
ARTHI 275B,Graduate standing.,None
ARTHI 596,Graduate standing; consent of instructor; department approval.,None
ARTHI 6B,No Prerequisites,None
ARTHI 6E,No Prerequisites,None
ARTHI 6J,No Prerequisites,None
ARTHI 103D,Upper-division standing.,None
ARTHI 105P,No Prerequisites,None
ARTHI 105Q,Not open to freshmen.,None
ARTHI 107B,Not open to freshman.,None
ARTHI 132A,Not open to freshmen.,None
ARTHI 136B,Not open to freshmen.,None
ARTHI 136W,Upper-division standing; open to majors only.,None
ARTHI 141G,No Prerequisites,None
ARTHI 142C,Not open to freshmen.,None
ARTHI 186SR,Upper-division standing.,None
ARTHI 186SV,Upper-division standing.,None
ARTHI 5B,No Prerequisites,None
ARTHI 136I,Not open to freshmen.,None
AS AM 2,No Prerequisites,"AS AM 199, AS AM 160, AS AM 2H, POL S 160"
AS AM 2H,Concurrent enrollment in AS AM 2; consent of instructor.,None
AS AM 5,No Prerequisites,None
AS AM 100CC,No Prerequisites,None
AS AM 100HH,No Prerequisites,None
AS AM 118,Sophomore standing or higher.,None
AS AM 127,Sophomore standing or higher.,None
AS AM 128,Sophomore standing or higher.,None
AS AM 130,Sophomore standing or higher.,None
AS AM 186,A prior Upper Division course in Asian American Studies.,None
AS AM 194A,"At least one course in one of these departments: Asian American Studies, Black Studies, Chicana/o Studies, Feminist Studies.",None
AS AM 199,A lower-division Asian American Studies course and 2 upper-division courses; upper-division standing.,None
AS AM 199RA,No Prerequisites,None
AS AM 200,Graduate standing in the social sciences or humanities or instructor consent.,None
AS AM 500,Appointment as a teaching assistant in an Asian American Studies course.,None
AS AM 596,Graduate standing and consent of instructor.,None
AS AM 7,No Prerequisites,None
AS AM 8,No Prerequisites,None
AS AM 9,None,None
AS AM 71,None,None
AS AM 100AA,No Prerequisites,None
AS AM 111,Sophomore standing or higher.,None
AS AM 133,Sophomore standing or higher.,None
AS AM 136,Sophomore standing or higher.,None
AS AM 144,Sophomore standing or higher.,None
AS AM 151,Sophomore standing or higher.,None
AS AM 157,Sophomore standing or higher.,None
AS AM 160,Political Science 12 or Asian American Studies 1 or Asian American Studies 2.,None
AS AM 184,Sophomore standing or higher.,None
AS AM 194C,"At least one course in one of these departments: Asian American Studies, Black Studies, Chicana/o Studies, Feminist Studies.",None
AS AM 595,No Prerequisites,None
AS AM 1,No Prerequisites,"AS AM 1H, AS AM 160, POL S 160"
AS AM 122,Sophomore standing or higher.,None
AS AM 141,Upper-division standing.,None
AS AM 154,Sophomore standing or higher.,None
AS AM 158,Sophomore standing or higher.,None
AS AM 165,Sophomore standing or higher.,None
AS AM 194B,"At least one course in one of these departments: Asian American Studies, Black Studies, Chicana/o Studies, Feminist Studies.",None
AS AM 197,"Open to students who 1) have attained upper-division standing, 2) have at least a 3.0 grade-point average for the preceding three quarters, 3) have completed at least two upper-division course in Asian American Studies.",None
AS AMW 1,No Prerequisites,None
AS AM 137,Sophomore standing or higher.,None
ASTRO 1,No Prerequisites,"ASTRO 1H, ASTRO 2"
ASTRO 1H,Honors standing. Concurrent enrollment in ASTRO 1.,None
ASTRO 2,Astronomy 1.,None
ASTROW 1,No Prerequisites,None
ENGL 15,No Prerequisites,None
BIOE 120A,"Chemistry 1B, Chemistry 1BL, Mathematics 6B, and Physics 3",BIOE 120B
BIOE 210,"General biology, general chemistry, and differential equations",BIOE 212
BIOE 211,"At least one undergraduate course in biochemistry/cell biology and differential equations, or consent of the instructor.",BIOE 212
BIOE 220A,"Chem 1B/2B, Math 6B, Physics 3",None
BIOE 225,No Prerequisites,None
BIOE 230,No Prerequisites,None
BIOE 230A,No Prerequisites,None
BIOE 242,Consent of instructor.,None
BIOE 243,"General chemistry (CHEM 1A-C or equivalent), organic chemistry (CHEM 109A oor equivalent), and introductory biology (MCDB 1A or equivalent), and, for undergraduates, consent of the instructor.",None
BIOE 250AA,Consent of instructor.,None
BIOE 250AB,Consent of instructor.,None
BIOE 250AE,Consent of instructor.,None
BIOE 299,Prior departmental approval needed.,None
BIOE 493,Prior departmental approval.,None
BIOE 201,No Prerequisites,None
BIOE 241,Consent of instructor.,None
BIOE 250AC,Consent of instructor.,None
BIOE 258,"The course assumes an engineering background but is structured to be accessible to graduate students in life sciences who have a strong physics math background, and to engineering graduate students with basic biology knowledge.",None
BIOE 272,No Prerequisites,None
BIOE 274,No Prerequisites,None
BIOE 120B,"BIOE 120A, or ENGR 120A, or consent of Instructor",None
BIOL CS 10,Consent of instructor.,None
BIOL CS 12,No Prerequisites,None
CHEM 193,"Chem 1AL, 1BL, 1CL, and consent of Chem instructor.",None
CHEM 198,"Upper-division standing in a physical science, life science, or engineering major",None
CHEM 199,Upper-division standing in the major; completion of two upper division courses in chemistry.,None
BIOL CS 5,No Prerequisites,None
BIOL CS 25,None,None
BIOL CS 30,None,None
CHEM 196,Consent of instructor.,None
BIOL CS 199,Consent of instructor.,None
CHEM CS 199,Consent of instructor.,None
BL ST 1,No Prerequisites,"BL ST 169AR, BL ST 169CR"
BL ST 2,No Prerequisites,None
BL ST 7,No Prerequisites,None
BL ST 49A,No Prerequisites,None
BL ST 99,Consent of instructor.,None
BL ST 99RA,Consent of instructor.,None
BL ST 100,Upper-division standing.,None
BL ST 102,Upper-division standing.,None
BL ST 106,Upper-division standing.,None
BL ST 129,Upper-division standing.,None
BL ST 143,No Prerequisites,None
BL ST 147PL,Upper-Division Standing.,None
BL ST 151,Upper-division standing.,None
BL ST 154,Upper-division standing.,None
BL ST 155,Upper-division standing.,None
BL ST 162,Upper-division standing.,None
BL ST 190A,Open to senior Black Studies majors who have completed most of the degree requirements.,None
BL ST 190AH,By Department invitation only. Open to senior Black Studies majors who have completed most of the degree requirements.,None
BL ST 191A,Upper-division standing.,None
BL ST 197,Consent of instructor.,None
BL ST 199,Upper-division standing and consent of instructor.,None
BL ST 199RA,Upper-division standing and consent of instructor.,None
BL ST 208,Graduate standing.,None
BL ST 501,Appointment as teaching assistant in Black Studies.,None
BL ST 49C,No Prerequisites,None
BL ST 104,upper-division standing.,None
BL ST 127,Upper-division standing.,None
BL ST 137E,Upper-division standing.,None
BL ST 152,Upper-division standing.,None
BL ST 169CR,Black Studies 1 or 5 or History 17A or 17B or 17C or upper-division standing.,None
BL ST 179,Upper Division Only.,None
BL ST 180,"Upper-division standing. Two courses from BLST 1, 2, 3, 7 must be completed before enrolling in BLST 180.",None
BL ST 190C,Open to senior Black Studies majors who have completed most of the degree requirements.,None
BL ST 190CH,By Department invitation only. Open to senior Black Studies majors who have completed most of the degree requirements.,None
BL ST 596,No Prerequisites,None
BL ST 598,Consent of instructor.,None
BL ST 3,No Prerequisites,None
BL ST 14,No Prerequisites,None
BL ST 49B,No Prerequisites,None
BL ST 109,Upper-division standing.,None
BL ST 117,Upper-division standing.,None
BL ST 122,Upper-division standing.,None
BL ST 125,Upper-division standing.,None
BL ST 131,Upper-division standing.,None
BL ST 136,Upper-division standing.,None
BL ST 146,Upper-division standing.,None
BL ST 153,Upper-division standing.,None
BL ST 171,Upper-division standing.,None
BL ST 174,Upper-division standing.,None
BL ST 190B,Open to senior Black Studies majors who have completed most of the degree requirements.,None
BL ST 190BH,By Department invitation only. Open to senior Black Studies majors who have completed most of the degree requirements.,None
BL ST 126,Upper-division standing.,None
CHIN 201,Ability to read Chinese at graduate level; consent of instructor.,None
BMSE 210,Graduate standing; consent of instructor.,None
BMSE 218A,No Prerequisites,None
BMSE 222A,Consent of instructor.,None
BMSE 224,"For first-year BMSE graduate students only. Grad students from other programs will be considered but they should seek for the approval of the teaching coordinators. Number of participants will be limited to 12 or the number of first-year BMSE students, whichever is smaller.",None
BMSE 229,Graduate standing.,None
BMSE 265,No Prerequisites,None
BMSE 276A,No Prerequisites,None
BMSE 290A,Consent of instructor.,None
BMSE 290B,Consent of instructor.,None
BMSE 290HW,Consent of instructor.,None
BMSE 592,Enrollment in the BMSE Ph.D. program; open to first year graduate students only.,None
CHIN 596,Graduate standing.,None
BMSE 204,MCDB 108A or 218A or equivalent.,None
BMSE 206,Consent of instructor.,None
CHIN 220,CHIN 101B or instructor's permission,None
BMSE 226,Graduate standing.,None
BMSE 258,"The course assumes an engineering background but is structured to be accessible to graduate students in life sciences who have a strong physics and math background, and to engineering graduate students with basic biology knowledge.",None
BMSE 259,Consent of instructor.,None
CHIN 266F,No Prerequisites,None
C LIT 30A,No Prerequisites,None
C LIT 32,No Prerequisites,None
C LIT 35,No Prerequisites,None
C LIT 50A,Writing 2.,None
C LIT 60,No prerequisites,None
C LIT 101,Upper division standing.,None
C LIT 102B,Spanish 25 OR Spanish 16B (may be taken concurrently).,None
C LIT 122C,Upper Division Standing,None
C LIT 128A,Upper-division standing.,None
C LIT 154,Upper-division standing.,None
C LIT 179B,Upper-division standing.,None
C LIT 179C,Upper-division standing.,None
C LIT 189,Upper-division standing.,None
C LIT 191,No Prerequisites,None
C LIT 193,Comparative Literature 170.,None
C LIT 194I,Upper-division standing; Comparative Literature majors only; consent of department.,None
C LIT 196H,Comparative Literature majors only.,None
C LIT 197,Upper-division standing.,None
C LIT 197H,Consent of instructor; honors standing.,None
C LIT 199,Upper-division standing; completion of 2 upper-division courses in Comparative Literature.,None
C LIT 199RA,"Upper-division standing; completion of two upper-division courses in Comparative Literature; and, consent of instructor.",None
C LIT 200,Graduate standing.,None
C LIT 210,No Prerequisites,None
C LIT 591,No Prerequisites,None
C LIT 30B,No Prerequisites,None
C LIT 30C,No Prerequisites,None
C LIT 30H,Honors standing.,None
C LIT 82,No Prerequisites,None
C LIT 102C,Upper-division standing.,None
C LIT 108,Upper-division standing or consent of instructor.,None
C LIT 113,Upper-division standing.,None
C LIT 114,Upper division standing or instructor approval required,None
C LIT 162I,"Upper Division standing and one course from the following: RGST 19, 20, 140D, 158C, 159 G-H-J-K-L-M-N-O, 160A, 161D, 169 or equivalent; or instructor approval.",None
C LIT 163,Upper division standing.,None
C LIT 171,No Prerequisites,None
C LIT 186CC,Upper-division standing.,None
C LIT 186E,Upper-division standing.,None
C LIT 186WL,Upper-division standing.,None
C LIT 36,No Prerequisites,None
C LIT 50B,Writing 2.,None
C LIT 50C,Writing 2.,None
C LIT 134,Upper-division standing or instructor approval required,None
C LIT 152,Upper division standing.,None
C LIT 155,Upper division standing.,None
C LIT 170,Upper-division standing; and completion of quarter 5 or equivalent of the language of study.,None
C LIT 181C,No Prerequisites,None
C LIT 186B,Upper-division standing.,None
C LIT 186JJ,Upper-division standing.,None
C LIT 31,No Prerequisites,None
C LIT 33,No Prerequisites,None
C LIT 34,Same course as French 34.,None
C LIT 99,8 units from any Comparative Literature courses numbered 30 to 36; minimum 3.0 cumulative GPA; consent of instructor and department.,None
C LIT 187,Upper Division Standing,None
C LIT 190A,Writing 2 or instructor consent.,None
CH E 5,No Prerequisites,"CH E 110A, CH E 10"
CMPTGCS 5,Consent of Instructor,None
CH E 10,"Chemical Engineering 5 (may be taken concurrently); Chemistry 1A-B-C or 2A-B-C; Mathematics 2A or 3A, Mathematics 2B or 3B and Mathematics 4A or 4AI","CH E 120C, CH E 140A, CH E 174, CH E 274, CH E 107, CH E 110A"
CH E 99,Consent of instructor and undergraduate advisor.,None
CH E 120A,Chemical Engineering 10 with a minimum grade of C- (may be taken concurrently); Mathematics 4B or 4BI; Mathematics 6A or 6AI and Mathematics 6B.,"CH E 140A, CH E 180A, CH E 120B, CH E 184A, CH E 140B, CH E 152A"
CH E 126,Chemical Engineering 120C (may be taken concurrently).,None
CH E 128,"Chemical Engineering 10, and 110A-B; open to Engineering majors only.","CH E 180B, CH E 184A"
CH E 132B,Mathematics 4B or 4BI; Mathematics 6A or 6AI; Mathematics 6B and Engineering 3.,CH E 184A
CH E 140B,"Chemical Engineering 110A-B, 120A-B and 140A.",CH E 184A
CH E 141,Chemical Engineering 110A and 140A or consent of instructor.,None
CH E 152A,Chemical Engineering 120A-B-C and 140A.,"CH E 152B, CH E 180B, CH E 184A"
CH E 193,Consent of Department.,None
CH E 196,"Upper-division standing, completion of 2 upper-division courses in Chemical Engineering; consent of the instructor.",None
CH E 198,Consent of instructor; upper-division standing; completion of 2 upper-division courses in Chemical Engineering.,None
CH E 210A,No Prerequisites,None
CH E 211A,Consent of instructor.,None
CH E 211D,Consent of instructor.,None
CH E 222A,Consent of instructor.,None
CH E 228,No Prerequisites,None
CH E 230A,Consent of instructor.,CH E 230B
CH E 241,No Prerequisites,None
CH E 110B,Chemical Engineering 110A with a minimum grade of C-; Mathematics 4B or 4BI.,"CH E 120C, CH E 140A, CH E 184A, CH E 128, CH E 140B, CHEM 113B"
CH E 118,Chemical Engineering 110A,None
CH E 120C,Chemical Engineering 10 with a minimum grade of C-; Chemical Engineering 110A with minimum grade of C-; Chemical Engineering 110B (may be taken concurrently) and Chemical Engineering 120B.,"CH E 180B, CH E 184A, CH E 126, CH E 152A"
CH E 132A,Mathematics 4B or 4BI; Mathematics 6A or 6AI.,None
CH E 140A,Chemical Engineering 10 with minimum grade of C-; Chemical Engineering 110A with a minimum grade of C-; Chemical Engineering 110B (may be taken concurrently). Chemical Engineering 120A-B.,"CH E 146, CH E 180B, CH E 184A, CH E 140B, CH E 141, CH E 152A"
CH E 160,Chemical Engineering 110A or Chemistry 113A or equivalent.,None
CH E 166,"Engineering 3 and Chemical Engineering 110A and B, or consent of instructor",None
CH E 173,Chemical Engineering 170 or Chemical Engineering 107 or MCDB 1A and consentinstructor.,None
CH E 174,"Chemical Engineering 10, Chemical Engineering 107 or equivalent or consent of instructor.",None
CH E 180A,Chemical Engineering 110A and 120A-B.,None
CH E 184B,Chemical Engineering 184A.,None
CH E 202,Consent of instructor.,None
CH E 211C,Consent of instructor.,"CH E 226, CMPSC 216, ECE 226, ME 216"
CH E 216B,Consent of instructor.,None
CH E 220D,Chemical Engineering 220A-B,None
CH E 240B,Consent of instructor.,None
CH E 260,No Prerequisites,None
CH E 107,Chemical Engineering 10,"CH E 174, CH E 274, CH E 173, CH E 154"
CH E 110A,Chemical Engineering 5; Chemical Engineering 10; Mathematics 4B or 4BI.,"CH E 110B, CH E 118, CH E 120C, CH E 140A, CH E 160, CH E 180A"
CH E 120B,Chemical Engineering 10 with minimum grade of C-; Chemical Engineering 110A with minimum grade of C- (may be taken concurrently); Chemical Engineering 120A.,"CH E 120C, CH E 140A, CH E 180A, CH E 184A, CH E 140B, CH E 152A"
CH E 121,No Prerequisites,None
CH E 132C,Mathematics 4B or 4BI; Mathematics 6A or 6AI and Mathematics 6B.,None
CH E 152B,Chemical Engineering 152A.,None
CH E 154,Chemical Engineering 170 or Chemical Engineering 107; Mathematics 4B or 4BI; Mathematics 6A or 6AI and Mathematics 6B.,None
CH E 180B,"Chemical Engineering 120C, 128, 140A and 152A.",None
CH E 184A,"Chemical Engineering 110A-B, 120A-B-C, 128, 132B, 140A-B, and 152A.",CH E 184B
CH E 493,Prior departmental approval needed.,None
CH ST 1A,No Prerequisites,"ANTH 113, CH ST 148, CH ST 110, CH ST 118, CH ST 124, CH ST 188C"
CH ST 99,No Prerequisites,None
CH ST 109,"CHST 1A, OR CHST 1B, OR CHST 1C, OR ANTH 2",None
CH ST 110,Chicano Studies 1A or 1B or 1C or upper-division standing.,None
CH ST 113,Upper-division standing.,None
CH ST 128,Upper-division standing.,None
CH ST 151,Department approval required to finalize registration.,None
CH ST 180,No Prerequisites,None
CH ST 193,Two courses in Chicana/o Studies; consent of instructor; and senior standing.,None
CH ST 197HA,Acceptance into the Chicana and Chicano Studies honors program; senior standing; consent of department; open to Chicana and Chicano Studies majors only.,None
CH ST 199,Upper-division standing; completion of two upper-division courses in Chicana/o Studies.,None
CH ST 199RA,Upper-division standing; completion of 2 upper-division courses in Chicana/o Studies; consent of instructor and department.,None
CH ST 220,No Prerequisites,None
CH ST 251,No Prerequisites,None
CH ST 501,No Prerequisites,None
CH ST 502,No Prerequisites,None
CH ST 1C,No Prerequisites,"ANTH 113, CH ST 148, CH ST 110, CH ST 118, CH ST 124, CH ST 188C"
CH ST 101C,"Upper-division standing. At least one course in any of the these departments: Asian American Studies, Black Studies, Chicana/o Studies, or Feminist Studies",None
CH ST 125A,Chicano Studies 1A or 1B or 1C or upper-division standing.,None
CH ST 143,None,None
CH ST 148,Chicano Studies 1A or 1B or 1C or upper-division standing.,None
CH ST 178A,Upper-division standing.,None
CH ST 191SV,No Prerequisites,None
CH ST 192,Chicana/o Studies 1A or 1B or 1C or upper-division standing.,None
CH ST 197HC,Chicana/o Studies 197HB; acceptance into Chicana and Chicano Studies honors program; senior standing; consent of department; open to Chicana and Chicano Studies majors only.,None
CH ST 210,No Prerequisites,None
CH ST 1B,No Prerequisites,"ANTH 113, CH ST 148, CH ST 110, CH ST 118, CH ST 124, CH ST 188C"
CH ST 127,Chicano Studies 1A or 1B or 1C or upper-division standing. Concurrent enrollment in Chicano Studies 127L required.,None
CH ST 168E,Chicano Studies 1A or 1B or 1C or upper-division standing.,None
CH ST 181,No Prerequisites,None
CH ST 183,Upper-division standing.,None
CH ST 184A,Department approval required to finalize registration.,None
CH ST 189,Upper-division standing.,None
CH ST 191SD,No Prerequisites,None
CH ST 191UI,No Prerequisites,None
CH ST 197HB,Chicana/o Studies 197HA; acceptance into the Chicana and Chicano Studies honors program; senior standing; consent of department; open to Chicana and Chicano Studies majors only.,None
CH STW 1B,No Prerequisites,None
CH ST 161,Departmental approval required to finalize registration.,None
CH STW 184A,Department approval required to finalize registration.,None
CHEM CS 11A,Consent of instructor required for non-majors.,None
CHEM CS 11C,"Consent of instructor for non-majors. CHEM 1B or CHEM 2B, or a Pass with a minimum of 3.0 units earned in CHEM CS 11B.",None
CHEM CS 110,"Chem 1A, 1B, or 2A, 2B.  Concurrent enrollment in Chem 1C or 2C. Consent of instructor; creative studies majors only.",None
CHEM CS 11B,"Consent of instructor for non-majors. CHEM 1A or CHEM 2A, or a Pass with a minimum of 3.0 units earned in CHEM CS 11A.",None
CHIN 1,No Prerequisites,None
CHIN 4,No Prerequisites,None
CHIN 99,Minimum 3.0 cumulative GPA,None
CHIN 101A,Upper-division standing.,CHIN 101B
CHIN 122A,Chinese 6 or 5NH or equivalent,CHIN 122B
CHIN 127A,Chinese 122C or equivalent.,CHIN 127B
CHIN 138A,Upper-division standing.,None
CHIN 146,Upper-division standing.,None
CHIN 152,Upper division standing.,None
CHIN 198,Upper-division standing; completion of 2 upper-division courses in Chinese.,None
CHIN 199,Upper-division standing; completion of 2 upper-division courses in Chinese major; Minimum major GPA of 3.5 or higher,None
CHIN 246,No Prerequisites,None
CHIN 260,No Prerequisites,None
BMSE 262,No Prerequisites,None
BMSE 290BP,Consent of instructor.,None
BMSE 290CE,Consent of instructor.,None
BMSE 290DN,Consent of instructor.,None
BMSE 595,Consent of instructor; graduate standing.,None
CHIN 597,Consent of graduate adviser.,None
CHIN 598,Graduate standing and consent of instructor.,None
CHIN 3,No Prerequisites,None
CHIN 3NH,Chinese 2NH,None
CHIN 6,No Prerequisites,"CHIN 122A, CHIN 125"
CHIN 82,No Prerequisites,None
CHIN 99RA,Minimum 3.0 cumulative GPA,None
CHIN 122C,Chinese 122B or equivalent,CHIN 127A
CHIN 125,Chinese 6 or instructor approval,None
CHIN 134K,Not open to freshmen.,None
CHIN 140,Upper division standing.,None
CHIN 176,upper division standing or instructor approval,None
BMSE 201B,"MCDB 108A-B-C; and, Chemistry 113A or 142A or 142B or 142C.",None
BMSE 202,Consent of instructor.,None
CHIN 2,No Prerequisites,None
CHIN 2NH,Chinese 1NH,None
CHIN 5,No Prerequisites,None
CHIN 122B,Chinese 122A or equivalent,CHIN 122C
CHIN 180CM,Upper Division standing,None
CHIN 183B,Upper-division standing or instructor approval,None
CHIN 40,No Prerequisites,None
CHIN W 80,No Prerequisites,None
CHIN 103,No Prerequisites,None
CLASS 20A,No Prerequisites,None
CLASS 40,No Prerequisites,CLASS 40H
CLASS 40H,Concurrent enrollment in Classics 40 and consent of instructor.,None
CLASS 50,No Prerequisites,None
CLASS 99,Consent of instructor and department chair.,None
CLASS 165,No Prerequisites,None
CLASS 195B,Must have been in residence as a Classics major for at least two full quarters. Must have a grade point average of 3.6 or better in the major. Approval of the department's chair.,None
CLASS 198,Consent of instructor and department chair; upper-division standing; completion of 2 upper-division courses in Classics.,None
CLASS 199,Consent of instructor and department chair; upper-division standing; completion of 2 upper-division courses in Classics.,None
CLASS 199RA,Upper-division standing; completion of 2 upper-division courses in Classicsconsent of instructor and department.,None
CLASS 211,Graduate standing.,None
CLASS 231,Graduate standing.,None
CLASS 292,Consent of instructor.,None
CLASS 500,No Prerequisites,None
CLASS 501,No Prerequisites,None
CLASS 596,Written proposal approved by department chair and graduate advisor.,None
CLASS 597,Consent of graduate advisor and chair.,None
CLASS 598,Graduate standing and consent of instructor and graduate advisor.,None
CLASS 20B,No Prerequisites,None
CLASS 109,Not open to Freshmen,None
CLASS 155,No Prerequisites,None
CLASS 171,No Prerequisites,None
CLASS 185,Consent of instructor and upper-division standing.,None
CLASS 195A,Must have been in residence as a Classics major for at least one full quarter. Must have a grade point average of 3.6 or better in the major. Approval of the department's chair.,None
CLASS 232,Graduate standing.,None
CLASS 55,No Prerequisites,None
CLASS 101,No Prerequisites,None
CLASS 180B,Not open to freshmen.,None
CLASS 36,No Prerequisites,None
CLASS 106,No Prerequisites,None
CLASS 196,Upper Division Standing and consent of department.,None
CMPTGCS 1A,Consent of instructor.,None
CMPTGCS 1L,Consent of instructor. Concurrent enrollment in Creative Studies-Computer Science 1A or 1B.,None
CMPTGCS 20,Consent of instructor.,None
CMPTGCS 130G,Consent of instructor.,None
CMPTGCS 130H,Consent of instructor.,None
CMPTGCS 1B,Consent of instructor.,None
CMPTGCS 2,Consent of instructor.,None
CMPTGCS 10,Consent of instructor.,None
CNCSP 97,No Prerequisites,None
CNCSP 99,No Prerequisites,None
CNCSP 99RA,No Prerequisites,None
CNCSP 101,Consent of instructor.,None
CNCSP 102,Consent of instructor.,None
CNCSP 114,No Prerequisites,None
CNCSP 197,Consent of instructor.,None
CNCSP 199,Consent of instructor.,None
CNCSP 199RA,Consent of instructor.,None
CNCSP 201,No Prerequisites,None
CNCSP 209A,Consent of instructor.,None
CNCSP 200,Consent of instructor.,None
CNCSP 217,No Prerequisites,None
CNCSP 225,Consent of instructor.,None
CNCSP 112,Consent of instructor.,None
CNCSP 132,No Prerequisites,None
CNCSP 110,Consent of instructor.,None
CNCSP 271A,Limited to CCSP students only; consent of instructor.,None
COMM 1,No Prerequisites,None
COMM 87,No Prerequisites,"PSY 10A, GEOG 172"
COMM 88,No Prerequisites,None
COMM 89,No Prerequisites,None
COMM 99RA,"Open to Communication and Pre-Communication Majors only, or other majors by exception based on faculty member request.",None
COMM 104,Not open to freshmen.,None
COMM 106,Not open to Freshmen.,None
COMM 111,Not open to Freshmen.,None
COMM 121,Not open to freshmen.,None
COMM 122,Not open to Freshmen.,None
COMM 123,Not open to freshmen.,None
COMM 127,Not Open to Freshman,None
COMM 128,Not open to freshmen.,None
COMM 129,open to communication and interdisciplinary studies majors only.,None
COMM 130,Not open to freshmen.,None
COMM 136,Not open to Freshmen.,None
COMM 137,Not open to freshmen.,None
COMM 142,No Prerequisites,None
COMM W 146,No Prerequisites,None
COMM 154,Not open to freshmen.,None
COMM 155,Not open to Freshmen.,None
COMM 160JG,Not open to freshmen.,None
COMM 101,Not open to Freshmen.,None
COMM 102,Not open to freshmen.,None
COMM W 107,Not open to Freshmen.,None
COMM 108,Not open to freshmen.,None
COMM 114,Not open to Freshmen.,None
COMM 144,Not open to freshmen.,None
COMM 152,Not open to Freshmen,None
COMM 153,Not open to Freshmen.,None
COMM 160DM,Not open to freshmen.,None
COMM 160OD,Not open to freshmen.,None
COMM 168,Not open to freshmen.,None
COMM 175SX,Senior-standing; Communication and interdisciplinary studies majors only.,None
COMM 117,Not open to Freshmen.,None
COMM 118,Not open to Freshmen.,None
COMM 124,Not open to freshmen.,None
COMM 132,Not open to freshmen.,None
COMM 138,Not open to Freshmen.,None
COMM 139,Not open to freshmen.,None
COMM 148,Not Open to Freshman,None
COMM 150,Not open to freshmen.,None
COMM 160OH,Not open to freshmen.,None
COMM 160WB,Not open to freshmen.,None
COMM 169,Not open to Freshmen.,None
COMM 175GW,Senior-standing; Communication and interdisciplinary studies majors only.,None
COMM 175PF,Senior-standing; consent of instructor; communication and interdisciplinary studies majors only.,None
COMM W 113,Not open to Freshmen.,None
COMM 133,Not open to freshmen.,None
COMM 151,Not open to freshmen.,None
DANCE 42D,No Prerequisites,None
DANCE 43B,No Prerequisites,None
DANCE 45,No Prerequisites,None
DANCE 47A,Audition.,None
DANCE 47D,Dance 47C.,None
DANCE 51,Dance 56C; dance majors only.,"DANCE 163, DANCE 167B, DANCE 151A, DANCE 50, DANCE 167A"
DANCE 56A,Audition.,None
DANCE 56D,Dance 56C.,None
DANCE 82BX,No Prerequisites,None
DANCE 82C,No Prerequisites,None
DANCE 82JZ,No Prerequisites,None
DANCE 82MX,No Prerequisites,None
DANCE 99,Consent of instructor and department; completion of lower-division dance history course.,None
DANCE 143A,Permission of instructor.,None
DANCE 145C,Upper-division standing.,None
DANCE 147A,Dance 47F.,None
DANCE 147D,Dance 147C.,DANCE 147E
DANCE 149,Audition.,None
DANCE 151A,Dance 50 and Dance 51,"DANCE 167B, DANCE 151B, DANCE 167A"
DANCE 156A,Dance 56F.,None
DANCE 156D,Dance 156C.,None
DANCE 165,Upper-division or permission of instructor.,None
DANCE 182BX,Upper-division standing.,None
DANCE 182C,Upper-division standing.,None
DANCE 36,No Prerequisites,None
DANCE 47C,Audition.,"DANCE 47F, DANCE 47D, DANCE 47E"
DANCE 47F,Dance 47C.,"DANCE 147C, DANCE 164, DANCE 147A, DANCE 147B"
DANCE 53,No Prerequisites,None
DANCE 56C,Audition.,"DANCE 56F, DANCE 51, DANCE 56D, DANCE 56E"
DANCE 56F,Dance 56C.,"DANCE 156C, DANCE 164, DANCE 156A, DANCE 156B"
DANCE 82TP,No Prerequisites,None
DANCE 142M,Upper-division standing.,None
DANCE 147C,Dance 47F.,DANCE 147D
DANCE 147F,Dance 147E.,None
DANCE 151C,Thtr 23D,"DANCE 191, DANCE 186"
DANCE 156C,Dance 56F.,"DANCE 156F, DANCE 156D, DANCE 156E"
DANCE 156F,Dance 156C.,None
DANCE 167B,"DANCE 50, DANCE 51, DANCE 151A, DANCE 167A",None
DANCE 182JZ,Upper-division standing.,None
DANCE 182MX,Upper-division standing.,None
DANCE 182TP,Upper-division standing.,None
DANCE 42E,No Prerequisites,None
DANCE 46,No Prerequisites,None
DANCE 47B,Audition.,None
DANCE 47E,Dance 47C.,None
DANCE 50,Dance 51,"DANCE 167B, DANCE 151A, DANCE 167A"
DANCE 56B,Audition.,None
DANCE 56E,Dance 56C.,None
