id,quarter,course_id,title,description,subject_area,units,general_ed,prerequisites,unlocks
263,20243,ENV S   196,INTRO TEACHING ES,"Students assist instructor in teaching course in which the student previously received a grade of A- or better. Activities determined in consultation with the instructor and may include assisting in laboratories, tutorials, discussion sections and field trips.",ENV S,,[],[],[]
264,20243,MCDB    108A,BIOCHEM STRUCT/FUNC,"Introduction to the structures and functions of proteins, including enzymes , with emphasis on their basic architecture and biological mechanisms of ac tion and regulation.  Methods used for characterizing proteins and analyzin g enzyme kinetic data are also emphasized.",MCDB,4,[],[],[]
265,20243,C LIT   199,INDEPENDENT STUDIES,Independent studies with any faculty member. To permit study   of a subject desired by the student but not covered in course   offerings.,C LIT,,[],[],[]
266,20243,C LIT   187,DEVIL IN LIT,Explores the rich literature around making deals with the devil while focus ing on the enduring influence of older literature on modern conceptions of the diabolic.,C LIT,4,"[""G"", ""WRT"", ""G"", ""WRT""]",[],[]
267,20243,GEOG    198,READINGS IN GEOG,Designed to provide in-depth directed inquiry into a topic of interest to t he student.,GEOG,,[],[],[]
268,20243,CNCSP   101,INTRO HELP SKILLS,"Introduces students to theory and practice of psychotherapy and other helping   relationships. Students learn about counseling, assessment, ethics, and   helping skills. Students gain experience by serving as practice counseling   clients or by volunteering in a relevant service setting.",CNCSP,4,"[""WRT"", ""WRT""]",[],[]
269,20243,ENGL    115,MEDIEVAL LITERATURE,"Survey of medieval English literature, including such texts as Beowulf, The Canterbury Tales, Morte d'Arthur, Piers Plowman, and Sir Gawain and the Gr een Knight.",ENGL,4,"[""WRT"", ""WRT"", ""G"", ""G""]",[],[]
270,20243,HIST      9,HISTORICAL METHODS,"Through studying a particular topic in history, students gain insight into historical methods and skills. Course designed for freshmen and sophomore h istory majors or prospective majors. Others may enroll by permission of ins tructor. Topics vary by quarter and instructor.",HIST,4,[],[],[]
271,20243,CH ST     1C,INTRO CHICANO/A STD,"Introduction to the historical and contemporary development of the Chicano/a community. Course is interdisciplinary in nature. Focuses by quarter on A. history, B. gender, and C. culture.",CH ST,4,"[""AMH"", ""ETH"", ""ETH"", ""ETH"", ""WRT"", ""WRT"", ""D"", ""D""]",[],[]
272,20243,DANCE   143A,STREET DANCE,"Focuses on the various forms of street dance: Hip Hop,   House Dance, Popping, Locking, Whacking, Punking, Voguing, and   Freestyle. Students learn the physical lexicon of the various styles, and are   immersed in the cultural aspects of the forms, contextualizing the   dances both historically and socially. With a strong focus on   accurately embodying the essence of each style, the class breaks down the   initiation of motion and pathways of energy that result in these unique   and specialized modes.",DANCE,2,[],[],[]
273,20243,EEMB    199,INDEPENDENT STUDIES,Hours and credit by arrangement with any faculty member. Laboratory or field.,EEMB,,[],[],[]
274,20243,EEMB W   22,BIO CONCEPT/CONTROV,"Introduction to the principles of evolution, physiology and ecology; emphas izing fundamental concepts and processes such as natural selection and spec iation, photosynthesis and cellular respiration, animal and plant interacti ons, population dynamics, community structure, and biodiversity. Examines p erspectives on currently relevant and biologically based topics such as evo lution / scientific creationism, sociobiology, biotechnology, reproductive rights, pandemic disease, climate change, exobiology, and overpopulation.",EEMB W,4,"[""C""]",[],[]
275,20243,CHEM    173A,ADV INORG CHEMISTRY,"Electronic structure of atoms and molecules. Models for   bonding in molecules of   nontransition and transition elements. Applications of symmetry to bonding,   electronic and vibrational spectroscopy. Stereochemistry   of transition metal   complexes and introduction to organometallics.",CHEM,3,[],[],[]
276,20243,GLOBL    99,INDEPENDENT STUDIES,Independent studies in global and international studies for lower division students. Students must be majors in global and international studies or pr esent justification to the program for diverting from this norm.,GLOBL,,[],[],[]
277,20243,ENV S   117,LOW CARBON SOCIETY,"Transitioning to a low carbon society presents both a significant opportuni ty and an enormous challenge. This course aims to address the complexity of the low carbon transition, integrating knowledge about climate change scie nce, responses to climate impacts, and the technological, behavioral and po licy solutions needed for local and global transitions away from fossil fue ls.",ENV S,4,[],[],[]
278,20243,HIST     88,SOUTH ASIAN HIST,"An introduction to the history of the South Asian   subcontinent, with emphasis on the period from 1500 CE to   the present.",HIST,5,"[""E"", ""E"", ""E"", ""NWC"", ""WRT"", ""WRT"", ""NWC""]",[],[]
279,20243,ANTH      2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH,4,"[""NWC"", ""D"", ""D"", ""NWC""]",[],[]
280,20243,C LIT   128A,CHILDREN'S LIT,"Classic texts and theories of children's literature, from Perrault and Wilde to Freud and Propp. Examination of narrative and ideological strategies for constructing and representing ""childhood"" in modernity, with emphasis on their relationship to the family and the marketplace.",C LIT,4,"[""G"", ""G"", ""WRT"", ""WRT""]",[],[]
281,20243,MCDB     92,SPECIAL TOPICS,"Special topics in molecular, cellular, and developmental biology. Course content varies. Information may be obtained in department office.",MCDB,,[],[],[]
282,20243,MCDB    192,SPECIAL TOPICS,Special topics of current importance in biological sciences. Course content will   vary. Information may be obtained in department office.,MCDB,,[],[],[]
283,20243,ART     130,VISUAL ART/CULTURE,"Exploration of visual arts and culture, including the evolving social and practical parameters of technologically produced images and the shifting arenas of ideology, analysis, and criticism.",ART,4,[],[],[]
284,20243,EARTH   123,THE SOLAR SYSTEM,"The nature and evolution of the planets of the solar system.   Elementary treatment of cosmochemistry, meteoritics, and   comparative planetology with special reference to current   ideas on solar system evolution.",EARTH,4,"[""C"", ""QNT"", ""WRT"", ""WRT""]",[],[]
285,20243,FAMST   182,INTRO ENV MEDIA,"Ties the acquisition of critical viewing skills for film to   the practice of conceiving and writing short environmental   documentaries.  Students screen narrative films and   documentaries, deconstruct them, and use their new proficiency   to write their own documentary treatments.",FAMST,4,[],[],[]
286,20243,FAMST   196,SENIOR HONORS SEM,"A one-quarter directed study, to be conducted as outlined in   the description of the Senior Honors Program. Honors   candidates will write a senior thesis on a topic approved by   film studies faculty.",FAMST,4,[],[],[]
287,20243,EARTH   199RA,IND. RESEARCH ASST.,Coursework shall consist of faculty supervised research   assistance.,EARTH,,[],[],[]
288,20243,GLOBL   118,GENDER/HUMAN RIGHTS,"Explores drivers, norms, patterns, and policy responses   to gender-based violence in global perspective. How does ""women's rights   as human rights""   improve our understanding of this global problem? What   are the challenges   of responding to human rights abuse by non-state actors?",GLOBL,4,[],[],[]
289,20243,MCDB    183,TEACHING ASSISTANCE,"Students will assist instructor in teaching course in which the student previously received a grade of A- or better. Activities will be determined in consultation with the instructor and may include leading discussion, laboratory, or tutorial section(s), attending lectures, and grading exams.",MCDB,,[],[],[]
290,20243,CMPSC    40,FOUNDATION COMP SCI,"Introduction to the theoretical underpinnings of computer   science. Topics include propositional predicate logic,   set theory,   functions   and rel ations, counting, mathematical induction and   recursion   (generating   fu nctions).",CMPSC,5,[],[],[]
291,20243,EEMB    183,TEACHING ASSISTANCE,"Students will assist instructor in teaching course in which the student pre viously received a grade of A or better. Activities will be determined in c onsultation with the instructor and may include leading discussion, laborat ory, or tutorial section(s), attending lectures, and grading exams.",EEMB,,[],[],[]
292,20243,MATH    119B,CHAO DYN & BIFU THE,Hyperbolic structure and chaos; center manifolds; bifurcation theory; and t he Feigenbaum and Ruelle-Takens cascades to strange attractors.,MATH,4,[],[],[]
293,20243,MCDB     20,CONCEPTS OF BIOLOGY,"Introduction to the science of life; cells, genetics, metabolism, molecular biology, physiology, natural selection, evolution, ecosystems; current new s and controversial topics in biology.",MCDB,4,"[""C""]",[],[]
294,20243,ANTH    198,INDEP READINGS ANTH,Intended for students who know their own reading needs. Normally requires regular meeting with the instructor.,ANTH,,[],[],[]
295,20243,ECE      15A,FUND OF LOGIC DES,"Boolean algebra, logic of propositions, minterm and maxterm   expansions, Karnaugh maps, Quine-McCluskey method, melti-level circuits, combinational   circuit design and simulation, multiplexers, decoders, programmable logic   devices.",ECE,4,[],[],[]
296,20243,CMPSC     9,INTERMEDIATE PYTHON,"Intermediate topics in Computer Science using the Python programming langua ge. Topics include object oriented programming, runtime analysis, data stru ctures, and software testing methodologies.",CMPSC,4,[],[],[]
297,20243,MAT     110CF,MAD CONCEPTS,"Media Arts and Design: Concepts and Fundamentals is an introductory course that covers the principles and practices of media arts and design. Students learn to create digital graphics, audio compositions, and video productions using digital tools and technologies. The course adopts a hands-on approach, emphasizing emerging design techniques such as generative artificial intelligence, parametric design, and algorithmic composition. The course challenges students to critically evaluate the role of media arts and design in contemporary society. The course format includes two in- person lecture sessions and one section per week, with a focus on technological literacy, software proficiency, and computational design.",MAT,4,[],[],[]
298,20243,COMM    124,FAMILY COMM,"Communication strategies and patterns of interaction in family relationships. Topics include closeness and affection,   disclosure, sibling interaction, adolescence, parenting,   marital roles and conflict.",COMM,4,[],[],[]
299,20243,LING    195A,HONORS THESIS,Guided research and writing of an original research paper to meet the requirements of the honors program in Linguistics.,LING,,[],[],[]
300,20243,MCDB    108B,BIOCHEM ENZ/METAB,"Principles of human energy metabolism. Chemistry and physiology of the majo r metabolic pathways of energy production. Metabolic interrelationships of the major body organs. Applications to human nutrition and disease, exercis e, starvation, obesity, and atherosclerosis.",MCDB,4,[],[],[]
301,20243,ECE     193,INTERN IN INDUSTRY,"Special projects for selected students. Offered in conjunction with engineering practice in selected industrial and research firms, under direct faculty supervision.",ECE,,[],[],[]
302,20243,ED      111,INTR CHILD/ADOL DEV,"An introductory course on the development of children from infancy to adolescence. Examines developmental changes and basic developmental theories (e.g., Piaget, Vygotsky) in four general areas: cognitive, social, language, and physical development. Fulfills TEP developmental course prerequisite or Education minor.",ED,4,[],[],[]
303,20243,ECON    140A,INTRO ECONOMETRICS,"Introduction to econometrics for data analysis in economics and social scie ces. The goal of the course is to learn how to use simple and multivariate linear regression for analyzing the relationship between economic variables s, for prediction and for causal inference, understanding its underlying as sumptions, advantages and pitfalls.",ECON,4,[],[],[]
304,20243,ENV S   199RA,INDEPENDEN RESEARCH,Faculty supervised research assistance.,ENV S,,[],[],[]
305,20243,HIST    133D,NAZI  HOLOCAUST,"The Nazi campaign of ethnic purification through eugenics and mass murder can be considered a watershed event in European history. This course examines the factors that combined to result in the Nazi genocides, as well as the contexts, causes and consequences of other modern genocides.",HIST,4,"[""E"", ""E"", ""EUR"", ""EUR""]",[],[]
306,20243,ECON    134A,FIN MANAGEMENT,Discounting of certain future cash flows. Principles of evaluation of inves tment projects. Demand and supply of investment funds. Risk and the valuati on of asset prices. Analysis of a firm's debt and dividend policies;the eff ect of taxes and inflation on these policies.,ECON,4,[],[],[]
307,20243,ARTHI     6K,ISLAM ART & ARCH,A survey of Islamic art and architecture.,ARTHI,4,"[""F"", ""NWC"", ""WRT"", ""F"", ""WRT"", ""NWC""]",[],[]
308,20243,COMM    186,THE DIGITAL DIVIDE,"Information and communication technologies (ICT) have become essential for survival in the 21st century. Most people in industrialized settings rely o n the internet for all aspects of life, including education, employment, he althcare, politics and personal relationships. At the same time, these tool s are expensive, fragile, and often complicated to use. As a result, there are inequalities in who has access to digital technology and who can use it successfully. This class examines these inequalities and the ways they inf luence, and are influenced by, larger socio-economic inequalities. We explo re relevant theories, review current data, and consider creative interventi ons to help reduce digital divides in years to come.",COMM,4,[],[],[]
309,20243,ECON    135,MONETARY ECONOMICS,"Survey of monetary theory, the banking system and the supply of money, mone tary policy, and current issues.",ECON,4,[],[],[]
310,20243,FR      155C,FR&FRANCOPH WM WRIT,"French-speaking women writers from the Middle Ages to the present. Gender and genre, politics and poetics in Marie de France, Lafayette, Staël, Sand, Simone de Beauvoir, Marguerite Duras, Assia Djebar, among other writers. In English.",FR,4,"[""G"", ""G"", ""WRT"", ""WRT""]",[],[]
311,20243,HIST W    2A,WORLD HISTORY,"Survey of the peoples, cultures, and social, economic, and political system s that have characterized the world's major civilizations in Europe, Asia, Africa, the Americas, and Oceania from prehistory to 1000 CE.",HIST W,5,"[""E"", ""EUR"", ""WRT"", ""E"", ""E1"", ""EUR"", ""WRT""]",[],[]
312,20243,EEMB W  146,BIOMETRY,"Linear models and least squares fitting: simple and multiple linear regress ion;   analysis of variance (fixed, random and mixed models; crossed and ne sted effects;   balanced and unbalanced designs); analysis of covariance, f actorial designs;   incomplete layouts; use of transformations.",EEMB W,4,[],[],[]
313,20243,FAMST   188TV,T.V. WRITING,"Introduction to fundamentals of writing for television   including: the situation comedy, the hour-long drama, the MOW,   the miniseries, and children's programming. Investigation of   the practical and creative tools necessary for programming.   Investigation of the practical and creative tools necessary   for navigating successful television scripts.",FAMST,4,[],[],[]
314,20243,FAMST   195I,INTERNSHIP,"An opportunity for training, career sampling, and contacts in   the film or television industry. Required are approximately   100 hours of work a quarter, a final five-page report, and a   supervisor's letter of verification.",FAMST,2,[],[],[]
315,20243,ME       14,STATICS,"Introduction to applied mechanics. Forces, moments, couples, and resultants ;   vector algebra; construction of free body diagrams; equilibrium in 2- a nd 3-  dimensions; analysis of frames, machines, trusses and beams; distrib uted   forces; friction.",ME,4,[],[],[]
316,20243,CH ST   199,INDEPENDENT STUDIES,Independent studies in Chicana/o students under the guidance of a faculty member in the department. Students wishing to enroll should prepare a short plan of study.,CH ST,,[],[],[]
317,20243,CHEM CS 199,INDEPENDENT STUDIES,Serious independent study in chemistry with consenting faculty member.,CHEM CS,,[],[],[]
318,20243,GER       2,ELEMENTARY GERMAN,Continuation of German 1.,GER,5,"[""H""]",[],[]
319,20243,ARTHI     6J,SUR CONTEMP ARCH,"Global survey of architectural production in the twenty-first   century. Emphasis on form and technology, as well as economic,   sociopolitical context. Explores built form at a variety of   scales (buildings, cities, virtual spaces), as well as the   concept of a ?contemporary.""",ARTHI,4,"[""F"", ""F""]",[],[]
320,20243,C LIT    34,LIT OF THE AMERICAS,"An introduction to the diverse literary traditions of the Americas through an examination of selected works. Regional focus on North America, the Cari bbean, and Latin America varies.",C LIT,4,"[""G"", ""G"", ""WRT"", ""WRT""]",[],[]
321,20243,CNCSP   199,INDEPEN STUDENTS,Study of special problems in various fields of Applied   Psychology.,CNCSP,,[],[],[]
322,20243,ANTH    109,HUMAN UNIVERSALS,"A critical overview of those characteristics of human psyche, behavior, society, and culture that are allegedly found among all peoples: the constants of human nature.",ANTH,4,"[""D"", ""D""]",[],[]
323,20243,ANTH    138TS,ARCH OF EGYPT,"Selected topics on the archaeology of ancient Egypt, placing the monuments of this great civilization in the context of its rise and development. Emphasis on ancient Egyptian material culture as a source for understanding Egyptian political, social, and economic dynamics.",ANTH,4,"[""E"", ""NWC"", ""E"", ""NWC"", ""WRT"", ""WRT""]",[],[]
324,20243,BL ST   127,BLACK WOMEN WRITERS,"Examines the significance of race, class, gender, sexuality, and place as experienced and articulated in the literature of Black women of the African diaspora.",BL ST,4,"[""WRT"", ""G"", ""WRT"", ""G"", ""ETH"", ""ETH"", ""ETH""]",[],[]
325,20243,ENGL    196,HONORS ENGLISH,"For students in the English department's honors program only. English 196, which is taken after English 198H in the honors program, focuses on the writing of a 35+ page senior thesis.",ENGL,4,[],[],[]
326,20243,LING    147LD,LANG DISORDERS,Introduces a broad overview of the differential characteristics of language disorders and the principles of assessment and treatment.,LING,4,[],[],[]
327,20243,MAT     111WN,WEB NARRATIVES,"This course offers a hands-on approach to learning creative coding, enabling students to design and develop web-based interactive stories with a blend of text, images, sound, and interactions. The curriculum will introduce narrative structures, creative coding techniques, and the basics of web design and development. Projects range from simple animations to complex, user-driven narratives. No prior coding experience is required.",MAT,4,[],[],[]
328,20243,MATH    199RA,IND RES ASSIST MATH,Coursework consists of faculty supervised research assistance.,MATH,,[],[],[]
329,20243,ENGR W    3,INTRO TO PROG,"General philosophy of programming and problem-solving. Students will   be i ntroduced to the programming language MATLAB. Specific areas of   study wil l include algorithms, basic decision structures, arrays,   matrices, and gr aphing.",ENGR W,3,[],[],[]
330,20243,BL ST     1,INTRO AF-AM STUDIES,"Explores historical and current social conditions of Black people in the Un ited States. Topics include the following: origins of Black Studies; chatte l slavery and resistance; Reconstruction; Jim Crow segregation; Harlem Rena issance; Black Nationalism; structural racism and anti-Blackness; Civil Rig hts and Black Power Movements; racial wealth gap; critical race theory and Neo-liberalism; carcerality and the prison industrial complex; white privil ege and rage; and the intersection of race, gender, class, and sexuality in shaping Black identity and life chances. As a 5 unit course, BLST 1 is rea ding and writing intensive, with a focus on developing research skills thro ugh a Black Studies lens.",BL ST,5,"[""WRT"", ""WRT"", ""D"", ""D"", ""AMH"", ""ETH"", ""ETH"", ""ETH""]",[],[]
331,20243,CHIN    103,READ & WRT IN CHIN,Designed to enhance reading and writing skills in Chinese for students who have finished second year Chinese.,CHIN,4,[],[],[]
332,20243,ARTHI   192E,OFF CAMPUS INTERN,"Under supervision of History of Art & Architecture faculty, students may ob tain credit for work in a museum, gallery, or architecture firm. Students e arn one unit for every 30 hours of work in their internship. Regular meetin gs, a final evaluation session, and a written report are required.",ARTHI,,[],[],[]
333,20243,COMM     89,THEORIES OF COMM,"An introduction to major theories and theoretical influences in the field o f communication. Theories are examined in the areas of verbal and nonverbal messages, cognition and persuasion, and the contexts of interpersonal, int ercultural, small group, organizational, and mass communication.",COMM,5,[],[],[]
334,20243,MAT     189,MAD CAPSTONE,Capstone course for the Media Arts and Design Minor. Synthesizes learning f from other Media Arts and Design courses through the development of a digital portfolio and meetings with guest speakers.,MAT,2,[],[],[]
335,20243,KOR       1,FIRST YEAR KOR 1,"The beginning course in Korean. The student acquires a basic knowledge of t he grammar, a limited general vocabulary, correct pronunciation, and an abi lity to read and understand simple texts. Weekly laboratory assignments sup port and enhance classroom learning.",KOR,5,[],[],[]
336,20243,DANCE   147S,BALLET III,Advanced analysis and exploration of the technical and   expressive element s of ballet. For dance majors. Open to non   majors by audition.,DANCE,3,[],[],[]
337,20243,EEMB    192,SPECIAL TOPICS,Special topics of current importance in biological sciences. Course contentwill vary. Information may be obtained from the department office.,EEMB,,[],[],[]
338,20243,ART      18,L/D DRAWING,"Introduction to two-dimensional representation with various   drawing media , including structural and symbolic implications   of the human form. Empha sis on organization of vision and   thought.",ART,4,[],[],[]
339,20243,C LIT    30B,MAJ WORKS-EUROP LIT,A survey of European literature. Renaissance and Neoclassical   literature from Petrarch to Diderot.,C LIT,4,"[""EUR"", ""EUR"", ""E"", ""E"", ""E1"", ""G"", ""G"", ""WRT"", ""WRT""]",[],[]
340,20243,CMPSC   196,UNDERGRAD RESEARCH,"Research opportunities for undergraduate students. Students will be expected to giveregular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",CMPSC,,[],[],[]
341,20243,COMM    123,CULT INFLUENCE COMM,Cross-cultural influences on communication processes. May deal with face-to-face or electronically mediated communication.,COMM,4,[],[],[]
342,20243,HIST    189E,HIST OF PACIFIC,"Peoples, cultures, social systems, politics, and economics of the islands of the   Pacific. Prehistory, early contacts with outside peoples, colonial regimes, the   transformation of colonialism, and recent developments. Contemporary issues   include regional cooperation, neocolonialism, and emigration.",HIST,4,"[""E"", ""NWC"", ""WRT"", ""E"", ""WRT"", ""NWC""]",[],[]
343,20243,MATH    122A,COMPLEX VARIABLES,"Complex numbers, complex differentiation, analytic functions, Cauchy-Rieman equations, Taylor and Laurent series, classification of singular points, residues, evaluation of improper integrals.",MATH,4,[],[],[]
344,20243,INT      86QV,FRST YR EXP SEMINAR,Selected topics of interest to students pursuing various,INT,1,[],[],[]
345,20243,MATH      4B,DIFF EQUATIONS,"First and second order differential equations, separation of variables, lin ear differential equations, systems of first order equations, nonlinear dif ferential equations and stability.",MATH,4,[],[],[]
346,20243,ENV S   137,CONSERV PLANNING,"Conservation planning practitioners have knowledge and skill sets that focu s on protecting and maintaining biodiversity in the face of global changes to land, water, and climate. This course addresses the basic principles of ecosystem and landscape ecology, conservation theory, monitoring and adapti ve management, interdisciplinary engagement, and problem solving. In teams, students will utilize the international 'Conservation Standards' strategy to present a conservation plan for a species or ecosystem of concern.",ENV S,4,[],[],[]
347,20243,COMM    197,COMM INTERNSHIP,"An opportunity for pre-communication and communication   majors to obtain c redit for career-related experience and   application of academic training in a communication-  related   internship. Required are 50 hours minimum of internship   work, a final five-page report, and a supervisor's letter   o f verification.",COMM,1,[],[],[]
348,20243,ENGL    192FE,FANTASY AND ECOLOGY,Explores how fantasy literature imagines the life we share with others. It considers how modern fantasy looks beyond what seems most obvious and allow s for different ways of relating to the world. It also examines fantasy's c oncern to create beings and ecosystems that do not exist.,ENGL,4,"[""G"", ""WRT"", ""G"", ""WRT""]",[],[]
349,20243,INT  W  188C,TRNSFR SEM: COMM,Introduction to the academic discipline of communication with emphasis on s cientific theoretical and methodological issues relevant to the systematic inquiry and pursuit of knowledge about human communication.,INT  W,1,[],[],[]
350,20243,COMM    170,COMMUNICATION LAW,"A historical survey of the development of the concept of   free speech, and a study of First Amendment controversies   in the United States during the twentieth and twenty-first   centuries.",COMM,4,[],[],[]
351,20243,HIST     17C,AMERICAN PEOPLE,"World War I to the present. A survey of the leading issues in american life from colonial times to the present. The course focuses on politics, cultural development, social conflict, economic life, foreign policy, and influential ideas. Features discussion sections.",HIST,5,"[""AMH"", ""WRT"", ""WRT"", ""D"", ""D""]",[],[]
352,20243,MCDB      1BZ,SELECT TOPICS 1B,"Designed for transfer students who have completed part of MCDB 1B through transfer work. Topics will be selected by the department, as appropriate, to fulfill the introductory biology requirement at UCSB.",MCDB,,[],[],[]
353,20243,ECON     10A,MICROECON THEORY,"Economic theory relating to demand, production, and   competitive product m arkets with emphasis on applications of theory.",ECON,5,[],[],[]
354,20243,ENGL     10,INTRO TO LIT STUDY,"Acquaints students with purposes and tools of literary interpretation. Introduces techniques and vocabulary of analytic discussion and critical writing. Some emphasis on poetry with attention also to drama, essay, and the novel.",ENGL,4,"[""A2""]",[],[]
355,20243,ENV SW   60,APPLIED ECOLOGY,"Course provides an introduction to ecology: biological interactions and pro cesses at the level of organisms, populations, communities and ecosystems. Ecological concepts are presented and discussed in the context of current c hallenges in environmental management and conservation.",ENV SW,4,[],[],[]
356,20243,HIST    142AL,AM LEG CONST HIST,"The U.S. Supreme Court has weighed in on the nation?s most significant social   questions ranging from segregation to same-sex marriage and women?s work. Designed   to put these and other decisions in proper context, this course covers U.S. legal history from the founding period to the present, with special attention to the evolution of legal conceptions of property, race and gender, civil rights, and   criminal justice. Students must read critically and make arguments based on   evidence.",HIST,4,"[""AMH""]",[],[]
357,20243,CMPSC    16,PROBLEM SOLVING I,"Fundamental building blocks for solving problems using computers. Topics in clude basic computer organization and programming constructs:  memory CPU, binary arithmetic, variables, expressions, statements, conditionals, iterat ion, functions, parameters, recursion, primitive and composite data types, and basic operating system and debugging tools.",CMPSC,4,[],[],[]
358,20243,FEMSTW   20,INTRO GENDER POWER,Introduction to central concepts and issues in feminist   studies from the perspective of the social sciences.   Explores the construction of gender a nd sexuality and the   lives of diverse groups of women in the contemporary U.S.   within a global context.  Online version of FEMST 20.,FEMSTW,4,"[""D"", ""WRT"", ""D"", ""WRT""]",[],[]
359,20243,CH ST   148,CHICANA ART,An overview of contemporary Chicana art and feminist theory   from the late 1960s to the present placed within the context   of the Chicano movement a nd other historical events.,CH ST,4,"[""F"", ""ETH"", ""F"", ""ETH"", ""ETH""]",[],[]
360,20243,EARTH   118,SUMMER FIELD GEOL,"Intensive hands-on training in the collection, interpretation,   and presen tation of geologic field data. Preparation of   geologic maps, sections, an d a professional report as tools to   understanding geologic processes. Are a and focus of   investigation changes each year.",EARTH,8,[],[],[]
361,20243,MCDB    101B,MOLEC GENETICS II,"Mendelian and molecular genetics. Replication,   recombination, transmissio n and   expression of DNA in eukaryotic organisms from yeast to   man. Uses of traditional   genetics and modern molecular techniques, including   mol ecular genetic approaches to   the study of human disease.",MCDB,4,[],[],[]
362,20243,ME       95,INTRO TO MECH ENGR,Participation in projects in the laboratory or machine shop. Projects may be student- or faculty-originated depending upon student interest and consent of faculty member.,ME,,[],[],[]
363,20243,ME       97,DESIGN PROJECTS,"Course offers students opportunity to work on established departmental design projects.  P/NP grading, does not satisfy technical elective requirement.",ME,,[],[],[]
364,20243,GEOG      5,PEOPLE/PLACE/ENVIRO,"Survey of spatial differentiation and organization of human activity and interaction with the Earth's biophysical systems. Sample topics include human   spatial decision-making behavior, migration, population growth, economic   development, industrial location, urbanization, and human impacts on the   natural environment.",GEOG,4,"[""D"", ""D""]",[],[]
365,20243,ANTH    113,INDIGENOUS PEOPLE,"The changing relationship between indigenous people and the   state. Compare the differences and similarities between   indigenous peoples' mobilizations in the cases of Canada,   USA, Ecuador, Chile, Guatemala, Bolivia and Mexico.",ANTH,4,[],[],[]
366,20243,CLASS    99,INTRO TO RESEARCH,"Directed study, oriented toward research, to be arranged with individual faculty members. Course offers exceptional students an opportunity to participate in a research project or group.",CLASS,,[],[],[]
367,20243,MCDB     99,INTRO TO RESEARCH,Laboratory experience for advanced lower-division students. Hours and credit by arrangement with any member of the staff.,MCDB,,[],[],[]
368,20243,ENV S     2,INTRO ENV SCIENCE,"Provides integration of fundamental science with environmental topics. Incl udes impacts of human population increase; principles of systems and change , biogeochemical cycles, ecosystems and global climate; energy and laws of thermodynamics; water supply and pollution; toxicology and risk analysis; a ir pollution and stratospheric ozone depletion.",ENV S,4,"[""C"", ""WRT"", ""WRT""]",[],[]
369,20243,ARTHI     5B,INTRO MUSEUM STUDY,"Designed to introduce students to various aspects of Museum   Studies- historical, theoretical, and practical- by examining   a range of issues and topics with which the field is engaged.",ARTHI,4,"[""F"", ""F""]",[],[]
370,20243,ENGL    192DF,SCI FI: DYSTOPIAN,"Introduces the literary genre of science fiction (SF) through the lens of d ystopia. Examines the literary history of fictitious futures, or to use Fre deric Jameson?s phrase, we will mine ?the archaeology of the future,? to de termine the central concerns of authors and film-makers who imagine, in par ticular, dystopian visions of the world to come. Beginning with fiction fro m the end of the Victorian period, we will read several novels, short stori es, and consider some films, that provide glimpses of a variety of futures, and consider how they approach respectively the disintegration of the poli tical, social, and natural world.",ENGL,4,"[""G"", ""WRT"", ""G"", ""WRT""]",[],[]
371,20243,INT      37UD,UTOPIAN DREAMING,"Examines the utopian dream through history, literature, philosophy, and memory. Starting with a historical and philosophical background of the concepts, the course will then turn to focus more narrowly on our own planned community of Isla Vista. Students will engage with public history and memory to trace the ideals and the reality of our surrounding community. Finally, in the last part of the survey, students will look at the future, focusing first on fictional accounts of utopia and dystopias, before writing their own speculative fiction as a final project.",INT,5,"[""E"", ""WRT"", ""E"", ""WRT""]",[],[]
372,20243,MCDB      6,MOL CELL BRAIN SCI,"Introduction to basic biochemistry, cell biology and genetics. Topics inclu de biological macromolecules, molecular basis of heredity, cell theory, cel lular organelles, cell division cycle, mitosis, meiosis, fertilization, ear ly development, Mendelian genetics, and molecular genetics. Biological prin ciples will be taught with examples involving the nervous system where appr opriate. Designed for Psychological and Brain Sciences majors.",MCDB,4,[],[],[]
373,20243,ENGL    199RA,INDEPENDEN RESEARCH,Independent research assistance in English. Coursework shall consist of faculty supervised research assistance.,ENGL,,[],[],[]
374,20243,ENV S   130C,AQUATIC FOOD MANGT,"Introduction to the use and protection of aquatic food resources globally. Familiarization with the primary literature and key ecological concepts to identify the impacts which influence fisheries and aquaculture and in turn how these different food systems impact wild aquatic species and ecosystems . Offers an applied, food system perspective connecting ecological theory w ith policy and management.",ENV S,4,[],[],[]
375,20243,GEOG      3,OCEAN/ATMOSPHERE,Introduction to the oceans and atmosphere and their role in the Earth's cli mate   and its weather patterns. Focus on the flows of solar energy through the ocean   and atmosphere systems. Human impacts of the Earth's climate a re also   introduced.,GEOG,4,"[""C""]",[],[]
376,20243,ANTH    183,INTERN ARCH RES MGT,"Interns serve as assistants or trainees in the archaeological programs of a governmental agency, a museum, or a private firm in the local area. In collaboration with the instructor and an extramural archaeologist, the student conceives a set of activities for the internship.",ANTH,,[],[],[]
377,20243,EEMB     99,INTRO TO RESEARCH,Laboratory or field experience for advanced lower-division students. Hours and credit by arrangement with any member of the staff.,EEMB,,[],[],[]
